"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"03-31-2008","11101",1,"None","None","None","isly ilwott","307112","http://www.freemarketcure.com/brainsurgery.php Perhaps our Canadian posters can confirm or deny the truthfulness in this video. Are we in the US on our way toward the unavailability of medical care due to governmental control?","fraud-socialized-medicine","01:50 PM","government-debates","1"
"03-31-2008","11101",1,"None","None","None","Archangel","307130","It couldn't be any clearer than that now, can it. Now consider the difference in population size and ask how an American Socialized Medicine program could hope to be any more efficient than Canada's.","fraud-socialized-medicine","06:09 PM","government-debates","2"
"03-31-2008","11101",1,"None","None","None","bhbcu64","307136","isly, Are we in the US on our way toward the unavailability of medical care due to governmental control? Get serious, man. We already have unavailability of medical care based on something far more cruel - ability to pay. I have a dear friend who is not making enough in wages to be able to afford private medical insurance (Now there's an oxymoron. The only thing that gets healthy is these companies' bottom line.). My friend needs a liver transplant. No, he's not Mickey Mantle who drank himself into this situation. The hospital wants $150K up front to put his name on the waiting list . Now there's a death sentence. America as a country should be ashamed of things like this. The sooner we have single payer health care financed through taxes, the better I will like it.","fraud-socialized-medicine","06:58 PM","government-debates","3"
"04-01-2008","11101",1,"bhbcu64","307136","isly, Are we in the US on our way toward the unavailability of medical care due to governmental control? Get serious, man. We already have unavailability of medical care based on something far more cruel - ability to pay. I have a dear friend who is not making enough in wages to be able to afford private medical insurance (Now there's an oxymoron. The only thing that gets healthy is these companies' bottom line.). My friend needs a liver transplant. No, he's not Mickey Mantle who drank himself into this situation. The hospital wants $150K up front to put his name on the waiting list . Now there's a death sentence. America as a country should be ashamed of things like this. The sooner we have single payer health care financed through taxes, the better I will like it.","isly ilwott","307179","I am serious. Governmental control of the medical industry will be catastrophic. Why don't you have your friend move to Canada and try to get a transplant from within a single payer system such as you describe? Let me know how it turns out. I am not in agreement with all practices maintained in our current health system....such as hospitals charging the uninsured many times higher prices than the insured are charged. This is a ridiculous practice. If your friend's hospital wants $150,000.00 from him, they'd likely bill an insured person something like $30,000.00 for similar services related to the transplant. I have heard that the bills are sometimes FIVE TIMES higher for the uninsured. Socialized medicine is not going to solve the problem of the actual care being expensive. Under socialized medicine, the number of physicians will decrease as they are limited by the government and told who to treat, where they must work. The demand for services will increase and the supply of quality doctors will decrease. Fewer college students will go into medicine because their major incentive will have been removed. Many are in it for the money. Likely, we will still have the problem that the rich get served first because there will be graft and corruption within the government employees that handle who gets what. The rich will simply have to grease the right palms. The poor will still be last in line. The only benefit that socialized medicine will bring to this nation will be to those who love big government. Can you imagine how many more government employees we could have with a fully socialized health system? Who is going to pay these people? (Don't answer that...I know already.) If the government demands that no physicians practice privately, we may develope an illegal underground system where the best medical care is available on the black market only. I would rather have the government subsidize health insurance (with our tax monies) for those who cannot afford it rather than control the systems that treat them. Then there are those who can afford health insurance but choose not to purchase it. Do we force them to buy it?","fraud-socialized-medicine","01:53 PM","government-debates","4"
"04-01-2008","11101",1,"None","None","None","Jo Bennett","307181","What makes you think doctors are paid badly in a national healthcare system? GP salaries in the UK average GBP100 000, that's US$200 000, around 4 times the median income in this country. Medical training is hugely competitive, requiring higher grades than anything except Veterinary Science. Transplant surgery here is limited by a shortage of donors, not doctors or funding.","fraud-socialized-medicine","02:28 PM","government-debates","5"
"04-01-2008","11101",1,"Jo Bennett","307181","What makes you think doctors are paid badly in a national healthcare system? GP salaries in the UK average GBP100 000, that's US$200 000, around 4 times the median income in this country. Medical training is hugely competitive, requiring higher grades than anything except Veterinary Science. Transplant surgery here is limited by a shortage of donors, not doctors or funding.","isly ilwott","307193","I don't think I said they'd be paid badly. ...and you say ""this country"" as if you're here in the USA. Are you in the UK or not? I noticed you did not provide a link to your claim of doctors pay in the UK....so I looked it up. It is hard to conceive of an average being higher than any one of the samples and the highest paid in the UK appear to be 20 year veterans making GBP79,500 ..... updated 4/1/2008 (That's today and I doubt it's an April Fool joke.) http://www.payscale.com/research/Uk/...Doctors/Salary Do you have another source that justifies your exageration? I do notice in the third bar chart down the page that UK Physicians IN PRIVATE PRACTICE make GBP100,000. It appears that the Government Doctors make a lot less (GBP42,500 for state and local...GBP54,000 for federal.) Where is your back-up?","fraud-socialized-medicine","03:16 PM","government-debates","6"
"04-01-2008","11101",1,"None","None","None","obvious_child","307197","So, isly ilwott, how about for once since you started post, you give a viable alternative instead of needling people and complaining? Why don't we have a competitive market for health insurance the same way we have for car and life insurance?","fraud-socialized-medicine","03:46 PM","government-debates","7"
"04-01-2008","11101",1,"obvious_child","307197","So, isly ilwott, how about for once since you started post, you give a viable alternative instead of needling people and complaining? Why don't we have a competitive market for health insurance the same way we have for car and life insurance?","isly ilwott","307208","So, obvious child, why don't you go play with the other children your age? We do have a competitive market for health insurance. That's why companies keep changing underwriters....somebody cheaper comes along with an offer. This will cease in a government controlled system. The government will set all rates. The government will create one big insurance provider that may consist of several existing providers all charging the same regulated rates for coverage. The government will set rates for procedures, compensation for doctors and technicians, compensation for drug companies, compensation for test kits and all sorts of things related to medical care that are currently being driven by the free market, thereby making profits attainable to those in the business. Government control will wipe out the profits and destroy the incentive to perform. The medical industry will become a nightmare of forms, long lines, inefficient matriculation and a huge waste of taxpayer's money. More importantly, the government will be choosing who gets treated and who does not...essentially choosing who dies.","fraud-socialized-medicine","04:26 PM","government-debates","8"
"04-01-2008","11101",1,"isly ilwott","307208","So, obvious child, why don't you go play with the other children your age? We do have a competitive market for health insurance. That's why companies keep changing underwriters....somebody cheaper comes along with an offer.","obvious_child","307210","I do, it's called a bar. I'm not the only one annoyed with your 'behavior.' Not in the same way we do for car and life insurance. There doesn't exist anything similar to progressive's site which details each competitor, product and service. But companies dictate who you can go with. Not individuals. Furthermore, the whole medical insurance agency is adding exponentially to the cost, rather then reducing the costs. I'm not saying the government run is better, I actually believe it will be worse, but as you have stated, the current system is not acceptable, so how about you do what I asked you to do; So, isly ilwott, how about for once since you started posting, you give a viable alternative instead of needling people and complaining?","fraud-socialized-medicine","04:40 PM","government-debates","9"
"04-02-2008","11101",1,"None","None","None","Iuris","307280","Without a universal health insurance, the limiting factor is the individual's wealth, and thus only the rich can afford health care. With universal health insurance, the limiting factor is the total amount of resources available, meaning that anyone can get treated regardless of their individual resources, unless the total resources are not sufficient. Given that serious treatments are so expensive that only the truly rich can afford them (just who can afford 150000 just like that?), I'd say universal health care is better. After all, it might well be YOU that gets something serious that's just too expensive for you to afford.","fraud-socialized-medicine","12:47 PM","government-debates","10"
