"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"12-11-2007","10685",1,"None","None","None","Winston Smith","293534","another reason for aborting would be: the woman discovered the father was gay and had intercourse with her by mistake: he was so drunk that he though she was a male (or maybe she was hairy and ugly?)","abortion-self-defense","04:38 PM","abortion-debates","12"
"12-11-2007","10685",1,"Winston Smith","293534","another reason for aborting would be: the woman discovered the father was gay and had intercourse with her by mistake: he was so drunk that he though she was a male (or maybe she was hairy and ugly?)","jitobear","293542","Do you practice idiocy?","abortion-self-defense","04:59 PM","abortion-debates","13"
"12-11-2007","10685",1,"jitobear","293525","I don't HAVE to do anything but stay white and die. And leave it to a man to think just because he says it, it must be true. My oh my - your Christianity teach you that humility? Listed below are the main reasons women choose abortion that you will find on most websites. None of them are due to a ""partying lifestyle"" or ""vanity"". Birth control (contraceptive) failure. Over half of all women who have an abortion used a contraceptive method during the month they became pregnant.9 Inability to support or care for a child. To end an unwanted pregnancy. To prevent the birth of a child with birth defects or severe medical problems. Pregnancy resulting from rape or incest. Physical or mental conditions that endanger the woman's health if the pregnancy is continued. http://women.webmd.com/tc/abortion-r...hoose-abortion http://health.yahoo.com/pregnancy-co...e--tw1040.html http://studentwebs.coloradocollege.e...al/reasons.htm Not even the following PRO-LIFE websites claim the reasons you state. The second one even breaks down the generalized buckets above even further - Financial issues - 21% Not emotionally ready - 21% Impacts to career/education - 16% Relationship Issues (single, abuse, etc.) - 12% Too young - 11% Too old - children grown - 8% Other 4% Health of fetus - 3% Health of mother - 3% Rape/Incest - 1% http://www.abortionrecoverycounselin...eAbortion.html http://www.sdabortionban.org/resourc...hoose_abortion Now, one could debate the merits of these reasons (or try to address them). But nowhere is there evidence of the claim you made. You completely pulled it out of your misogynistic XXX. You are insulting and you are wrong and have pretty much solidified why I think you are pro-life, and it doesn't have much to do with any kind of concern for babies or their mothers.","Archangel","293543","Jito, of course all of the reasons you mention are the staple excuses that are normally given. But since when are they the real reason that motivates the woman. Last night I got a call from a Political Surveyor who asked me multiple questions regarding this election cycle. One set of questions were about what issues were most important to me regarding the Presidential election. I said that all of them were valid and important issues that I cared about, about 8 in total. She responded that I was allowed to pick as many as 3 issues that I cared about but the program didn't allow for me to pick all of them. So it is with the questionnaires every woman who gets an abortion must fill out. They have questions about why they are seeking it but not one option is to prevent wide hips, sagging boobs, a ponch stomach or not ready to stop partying, drinking or drugging. Those options aren't even made available to choose as the real reasons why women abort their babies so in your World, they don't even exist. Talk about being told what you must think and buying it hook line and sinker. Get out of that box jito, it has to be awfully tight in there.","abortion-self-defense","05:42 PM","abortion-debates","14"
"12-11-2007","10685",1,"None","None","None","sinjin","293547","AA- Please shows us where you get your stats or are you just ""infilled"" with this knowledge?","abortion-self-defense","06:10 PM","abortion-debates","15"
"12-11-2007","10685",2,"jitobear","293542","Do you practice idiocy?","Winston Smith","293551","Not in Australia, but I dont know about Minnesota. Where is your sense of humour? Unless it happened to you; so my advice is: always shave your legs seorita jito the bear Obviously cold weather affects ones temperament so Global Warming has its positive aspect.","abortion-self-defense","06:17 PM","abortion-debates","16"
"12-11-2007","10685",2,"jitobear","293542","Do you practice idiocy?","Winston Smith","293552","by the way: the word is ""divine""","abortion-self-defense","06:20 PM","abortion-debates","17"
"12-11-2007","10685",2,"sinjin","293547","AA- Please shows us where you get your stats or are you just ""infilled"" with this knowledge?","Archangel","293557","Have you ever seen an abortion questionnaire sinjin? What I'm trying to show you is common sense, something the left is sorely lacking. It's like when lyte argued that statistically atheists make up less that 1% of our Prison population, and produced ""ACTUAL SO CALLED STATISTICS"", But ask yourself this just for the sake of common sense. How many benefits do atheists get in prison compared to men who want out of their cells for bible studies, church services and worship services. The Christians also have access to special programs that lead to early release and community service points that lead to early release. And as the coup de graux, how many convicts want to go before the parole board labeled as godless heathens who don't even believe in God? NONE OF THEM, THAT'S HOW MANY. So like typical atheists and the smart criminals they are, they lie like hell and call themselves christians who just made a mistake. Well, you can be sure that if we could get a thousand of these so called christians here for a Poll, they would relate a lot better with you atheists than they would with me. And so it is with the questionnaires of abortion clinics. The questions on it are designed to manipulate the outcome to appear as innocent and morally right as possible. But we all know that is a blatant lie. It's just that some prefer the lie to the truth which is why such distorted statistics exist in the first place.","abortion-self-defense","06:51 PM","abortion-debates","18"
"12-11-2007","10685",2,"None","None","None","thecap0","293562","archie, Jito, of course all of the reasons you mention are the staple excuses that are normally given. But since when are they the real reason that motivates the woman. Since when is it any of your business why any woman chooses to continue or terminate her pregnancy? Neither you, nor I, nor any other individual has any right to inquire. MYOB For those who don't like how I quote folks, just scroll on by. Nothing here is required reading.","abortion-self-defense","08:25 PM","abortion-debates","19"
"12-11-2007","10685",2,"thecap0","293562","archie, Jito, of course all of the reasons you mention are the staple excuses that are normally given. But since when are they the real reason that motivates the woman. Since when is it any of your business why any woman chooses to continue or terminate her pregnancy? Neither you, nor I, nor any other individual has any right to inquire. MYOB For those who don't like how I quote folks, just scroll on by. Nothing here is required reading.","Archangel","293567","It is my business because that is what is being discussed capo. Did you zone out and forget where you are? This is a debate forum and abortion is the issue being discussed on this thread. So my opinion is as valid as anyone else's whether you agree with my opinion or not.","abortion-self-defense","09:44 PM","abortion-debates","20"
"12-12-2007","10685",2,"Archangel","293557","It's like when lyte argued that statistically atheists make up less that 1% of our Prison population, and produced ""ACTUAL SO CALLED STATISTICS"", But ask yourself this just for the sake of common sense. How many benefits do atheists get in prison compared to men who want out of their cells for bible studies, church services and worship services. The Christians also have access to special programs that lead to early release and community service points that lead to early release. And as the coup de graux, how many convicts want to go before the parole board labeled as godless heathens who don't even believe in God? NONE OF THEM, THAT'S HOW MANY. So like typical atheists and the smart criminals they are, they lie like hell and call themselves christians who just made a mistake. Well, you can be sure that if we could get a thousand of these so called christians here for a Poll, they would relate a lot better with you atheists than they would with me.","electrolyte","293575","You scream for numbers, yet when they're given to you, you hand-wave them away as meaningless. Show me results of polls that (1) are anonymous, thereby sidestepping this alleged cause of number slanting, and (2) support your point. Until then, I'll just point out how ironic it is that you say atheists are ""smart"" when they're criminals yet crazy and illogical when kicking your XXX on a debate forum, and that it's almost like you're complaining that Christians get preferential treatment when they're crooks.","abortion-self-defense","12:44 AM","abortion-debates","21"
"12-12-2007","10685",2,"Archangel","293543","Jito, of course all of the reasons you mention are the staple excuses that are normally given. But since when are they the real reason that motivates the woman. So it is with the questionnaires every woman who gets an abortion must fill out. They have questions about why they are seeking it but not one option is to prevent wide hips, sagging boobs, a ponch stomach or not ready to stop partying, drinking or drugging. Those options aren't even made available to choose as the real reasons why women abort their babies so in your World, they don't even exist. Talk about being told what you must think and buying it hook line and sinker. Get out of that box jito, it has to be awfully tight in there.","jitobear","293637","What evidence do you have that they aren't? The most thorough stats I provided were from a PRO-LIFE website. I have provided stats and evidence - you have provided NOTHING. You have zero credibility here. None. Nada. Zip. I doubt highly that they have to fill it out at all. You are either a complete misogynist or not man enough to manage relationships with real women and thereofore the ones you people your life with are useless twits. Just promise me you will never have a daughter. You frankly don't deserve to be within ten feet of any woman. There is an ""other"" option. No - how about we talk about how I am a woman and a mother and how you don't know $hit. Like so many Christians I encounter - the main motivator of your faith is complete self-indulgence. You just loooove believing you are morally superior. You don't give a damn about pregnant women and their babies. You just write them off as vain party animals rather than address the real issues or take on trying to actually doing anything to help - but then why would you? Helping them would do nothing to feed your supposed morally superior ego. Pathetic.","abortion-self-defense","12:11 PM","abortion-debates","22"
"12-12-2007","10685",2,"Winston Smith","293552","by the way: the word is ""divine""","jitobear","293638","I know that. The typo was brought up to me ages ago - I kept it incorrect to be irritating.","abortion-self-defense","12:12 PM","abortion-debates","23"
"12-12-2007","10685",2,"jitobear","293637","You are either a complete misogynist or not man enough to manage relationships with real women and thereofore the ones you people your life with are useless twits. Just promise me you will never have a daughter. You frankly don't deserve to be within ten feet of any woman.","Archangel","293644","I assure you jito my wife is a real woman. And my 2 daughters are fine independent women who love me very much. They have good healthy self images with good healthy relationships with me so they never had to go out and prove they can be loved by having physical relationships with men and having random sex in order to feel like complete women who can be loved by a man. If you had an ounce of understanding why so many American women are promiscuous, with no self respect at all, you wouldn't be defending and justifying abortion, but would be talking about how to rebuild within women a morality based value system in order to stop the all out human carnage taking place in our abortion clinics due to the out of control and irresponsible sex that is taking place in this Country, and around the World. Just because I'm only speaking about the USA, it doesn't mean Europe and Asia is innocent in any way.","abortion-self-defense","12:43 PM","abortion-debates","24"
"12-12-2007","10685",2,"jitobear","293638","I know that. The typo was brought up to me ages ago - I kept it incorrect to be irritating.","Winston Smith","293692","I thought you kept incorrect to show that to err is humane therefore ... to be irritating is also a human characteristic so ..","abortion-self-defense","07:43 PM","abortion-debates","25"
"12-12-2007","10685",2,"Archangel","293644","I assure you jito my wife is a real woman. And my 2 daughters are fine independent women who love me very much. They have good healthy self images with good healthy relationships with me so they never had to go out and prove they can be loved by having physical relationships with men and having random sex in order to feel like complete women who can be loved by a man. If you had an ounce of understanding why so many American women are promiscuous, with no self respect at all, you wouldn't be defending and justifying abortion, but would be talking about how to rebuild within women a morality based value system in order to stop the all out human carnage taking place in our abortion clinics due to the out of control and irresponsible sex that is taking place in this Country, and around the World. Just because I'm only speaking about the USA, it doesn't mean Europe and Asia is innocent in any way.","Winston Smith","293696","What about the so called 'virgin' Mary? She was married to Joseph and then had an affair and claimed God was Jesus father? Did Joseph fall for that or pretended to and who more promiscuous than Jesus girlfriend Mary the Magdalene?","abortion-self-defense","08:07 PM","abortion-debates","26"
"12-12-2007","10685",2,"None","None","None","thecap0","293702","archie, And my 2 daughters are fine independent women who love me very much. They have good healthy self images with good healthy relationships with me so they never had to go out and prove they can be loved by having physical relationships with men and having random sex in order to feel like complete women who can be loved by a man. If you believe that they would tell YOU the details of their sex lives, you must be waiting for the plane to take you to Fantasy Island. Even more important for you and all the busybodies: What business is it of yours?","abortion-self-defense","09:20 PM","abortion-debates","27"
"12-13-2007","10685",2,"Archangel","293644","I assure you jito my wife is a real woman. And my 2 daughters are fine independent women who love me very much. They have good healthy self images with good healthy relationships with me so they never had to go out and prove they can be loved by having physical relationships with men and having random sex in order to feel like complete women who can be loved by a man. If you had an ounce of understanding why so many American women are promiscuous, with no self respect at all, you wouldn't be defending and justifying abortion, but would be talking about how to rebuild within women a morality based value system in order to stop the all out human carnage taking place in our abortion clinics due to the out of control and irresponsible sex that is taking place in this Country, and around the World. Just because I'm only speaking about the USA, it doesn't mean Europe and Asia is innocent in any way.","jitobear","293761","Frankly, based on this thread, I pity the women in your life. Now, enough detraction. You claimed that woman have abortions out of vanity and a need to party. THAT is what I am arguing here - nothing else. Back it up or concede.","abortion-self-defense","10:59 AM","abortion-debates","28"
"12-13-2007","10685",2,"None","None","None","jim's trucking","293765","I would say it's more self preservation than self defense. To call it self-defense would require some attack or intent to attack on the part of the pregnancy. I'm not aware of all the various conditions behind abortions for health reasons, but I do not see a deliberate attempt by the fetus to hurt the mother. Natural causes likely precipitate the need to abort. Self preservation drives the decision to do so. To me, that is justified. Whether it is homicide or not doesn't matter. If it is, it's justified.","abortion-self-defense","11:40 AM","abortion-debates","29"
"12-13-2007","10685",2,"jitobear","293761","Frankly, based on this thread, I pity the women in your life. Now, enough detraction. You claimed that woman have abortions out of vanity and a need to party. THAT is what I am arguing here - nothing else. Back it up or concede.","Archangel","293766","As I pity any man dumb enough to attempt to bond with you. Now, as to my beliefs. I have every right to them and to voice them here without proving that anyone else agrees with me at all in order to voice them. So there is nothing to concede as my beliefs are self evident. It would be nice though if you could prove that the results of surveys the abortion industry does to support their own predetermined outcomes weren't fixed and loaded to confirm precisely the results they want to come up with. Of course you will ignore that aspect of this as ignorance is bliss to your side of the issue.","abortion-self-defense","11:54 AM","abortion-debates","30"
"12-13-2007","10685",3,"None","None","None","thecap0","293770","archie, So there is nothing to concede as my beliefs are self evident. You have nothing to concede at all. I will grant that you have the right to preach to the females IN YOUR FAMILY to be continually pregnant, to have babies until, as Luther said, ""They are dead of it."" What I require, no, DEMAND, is that you cease your attempts to impose your absurd beliefs on the women in MY FAMILY!","abortion-self-defense","01:01 PM","abortion-debates","31"
"12-13-2007","10685",3,"Archangel","293766","As I pity any man dumb enough to attempt to bond with you. Now, as to my beliefs. I have every right to them and to voice them here without proving that anyone else agrees with me at all in order to voice them. So there is nothing to concede as my beliefs are self evident. It would be nice though if you could prove that the results of surveys the abortion industry does to support their own predetermined outcomes weren't fixed and loaded to confirm precisely the results they want to come up with. Of course you will ignore that aspect of this as ignorance is bliss to your side of the issue.","jitobear","293772","Any man who believes that the most worrisome thing on a woman's mind when facing pregnancy is her breasts is not a man with whom I would wish to bond. The men I associate with regard women far higher. Yes - your beliefs are self-evident. You believe abortion is wrong and you believe women are empty-headed twits who spend their time worrying about their rack (who knows - maybe that is true for the women in your life.) But I am not talking about beliefs . I are talking about why women choose abortion. You made an accusation you have yet to back up with anything at all . One that I have completely discredited. It is that particular argument that you need to concede since you have proven NOTHING. And I would like to point out to you AGAIN - that they most thorough stats I provided came from a PRO-LIFE website.","abortion-self-defense","01:50 PM","abortion-debates","32"
"12-13-2007","10685",3,"jitobear","293772","Any man who believes that the most worrisome thing on a woman's mind when facing pregnancy is her breasts is not a man with whom I would wish to bond. The men I associate with regard women far higher. Yes - your beliefs are self-evident. You believe abortion is wrong and you believe women are empty-headed twits who spend their time worrying about their rack (who knows - maybe that is true for the women in your life.) I am not talking about beliefs . I are talking about why women choose abortion. You made an accusation you have yet to back up with anything at all . One that I have completely discredited. It is that particular argument that you need to concede since you have proven NOTHING. I would like to point out to you AGAIN - that they most thorough stats I provided came from a PRO-LIFE website.","Archangel","293780","I am saying, and very clearly that for a large percentage of women who have no health issues with abortion, their primary reason for killing their own offspring is because their life priorities are so warped they are more concerned about their physical self image and their lifestyle than the welfare of their own child. Talk about the epitome of selfishness. Not all women, only those women who will kill their own offspring so as not to inconvenience themselves after it is they who acted irresponsibly, not the babies they so easily murder in the name of controlling their own bodies. I have common sense and I supported it with real examples of how surveys and questionnaires are distorted and manipulated in order to get the intended results. Yes jito, but you failed to acknowledge that the pro-life/anti-abortion website that put those stats together got the info from abortion clinics within the Industry which only ask certain questions and are sure not to ask the questions I am asking.","abortion-self-defense","03:31 PM","abortion-debates","33"
"12-13-2007","10685",3,"thecap0","293770","archie, So there is nothing to concede as my beliefs are self evident. You have nothing to concede at all. I will grant that you have the right to preach to the females IN YOUR FAMILY to be continually pregnant, to have babies until, as Luther said, ""They are dead of it."" What I require, no, DEMAND, is that you cease your attempts to impose your absurd beliefs on the women in MY FAMILY!","Archangel","293781","Who preaches to the women in my family to be continually pregnant? Surely not me. Neither of my daughters is married nor have they had children. You seem to read alot into my posts Capo, stop interpreting and start reading my posts if you can. It will help you appear more lucid, which at this point you don't appear to be. And where have I once attempted to impose my beliefs on anyone? Are you on drugs Capo? I have expressed my opinion on a debate forum and I will continue to. If you don't like that then refute them but don't you dare tell me not to share my beliefs and opinions because you just don't carry that kind of power here, at least not with me. So back off.","abortion-self-defense","03:40 PM","abortion-debates","34"
"12-13-2007","10685",3,"None","None","None","thecap0","293786","archie, I have expressed my opinion on a debate forum and I will continue to. If you don't like that then refute them but don't you dare tell me not to share my beliefs and opinions because you just don't carry that kind of power here, at least not with me. I will be happy to publicize the fact that there is a wacko on this forum who has theabsurd belief that some nameless, faceless governmenrt bureaucrat is better able to determine the future of a woman's pregnancy than she herself is. That is what ALL you profewtallifers want, isn't it - to deprive women of control of their bodies. In just what ways are you different from the Taliban?","abortion-self-defense","04:09 PM","abortion-debates","35"
"12-13-2007","10685",3,"Archangel","293780","I am saying, and very clearly that for a large percentage of women who have no health issues with abortion, their primary reason for killing their own offspring is because their life priorities are so warped they are more concerned about their physical self image and their lifestyle than the welfare of their own child. Talk about the epitome of selfishness. Not all women, only those women who will kill their own offspring so as not to inconvenience themselves after it is they who acted irresponsibly, not the babies they so easily murder in the name of controlling their own bodies. I have common sense and I supported it with real examples of how surveys and questionnaires are distorted and manipulated in order to get the intended results. Yes jito, but you failed to acknowledge that the pro-life/anti-abortion website that put those stats together got the info from abortion clinics within the Industry which only ask certain questions and are sure not to ask the questions I am asking.","jitobear","293787","And I am saying that you have absolutely zero evidence of this. Just because because you say it, think it, or believe it does not mean that it is clearly anything outside of your ramblings, thoughts and beliefs. I'd like to see how you'd handle the government interfering with your dick. In any case. This simply confirms for me what I accused you of earlier. That your stance on abortion is complete self-gratification. You really don't give a damn about women facing unwanted pregnancies or their babies at all. You simply continue to trivialize what they are going through, generalize about as to their character with absolutely no evidence to back up these character assisinations and you offer zero solutions - just condemnation. I have a long list of ideas for addressing unwanted pregnancy and abortion - and not one them involves trivializing or insulting anybody. When I see evidence that this is an issue that you actually care about for a reason other than serving your own ego, I will share them with you. You did no such thing. You kept making the claim. You have not backed up your claim at all. Another accusation. Back it up. Now I did just a tich of poking around. Looked at two pro-life websites to see who they reference as their source for their stats. They site the Guttmacher Institute, a reproductive health organization that is pro-choice. I glanced through several of their reports to see how they obtained data. It was through independent studies - not clinic questionaires. http://www.guttmacher.org/sections/a...hp?pub=reports","abortion-self-defense","04:22 PM","abortion-debates","36"
"12-14-2007","10685",3,"None","None","None","Winston Smith","293921","if there is a topic discussed ad nauseum here is abortion a) is the foetus a person ? b) when conception takes place ? c) who has more rights the foetus or the mother ? Nothing ever gets resolved, nobody changes her/his opinion only new names repeating the same old tired arguments with a passion","abortion-self-defense","06:59 PM","abortion-debates","37"
"12-14-2007","10685",3,"None","None","None","Shooterandproud","293928","If a mentally retarted man breaks into your house with a pickaxe and starts swinging at you and you have a gun are you allowed to kill him?","abortion-self-defense","09:17 PM","abortion-debates","38"
"12-14-2007","10685",3,"Archangel","293543","Jito, of course all of the reasons you mention are the staple excuses that are normally given. But since when are they the real reason that motivates the woman. Last night I got a call from a Political Surveyor who asked me multiple questions regarding this election cycle. One set of questions were about what issues were most important to me regarding the Presidential election. I said that all of them were valid and important issues that I cared about, about 8 in total. She responded that I was allowed to pick as many as 3 issues that I cared about but the program didn't allow for me to pick all of them. So it is with the questionnaires every woman who gets an abortion must fill out. They have questions about why they are seeking it but not one option is to prevent wide hips, sagging boobs, a ponch stomach or not ready to stop partying, drinking or drugging. Those options aren't even made available to choose as the real reasons why women abort their babies so in your World, they don't even exist. Talk about being told what you must think and buying it hook line and sinker. Get out of that box jito, it has to be awfully tight in there.","Shooterandproud","293930","Saying women get unwanted pregnancies from partying and drugging is like saying black people steal. Even though a large percentage of the prison population is black, it doesn't mean black people in general steal. That would be a malicious stereotype. Saying that women get unwanted pregnancies from partying and drugging, especially with absolutely no evidence, is stereotypical and sexist.","abortion-self-defense","09:23 PM","abortion-debates","39"
"12-14-2007","10685",3,"Archangel","293557","Have you ever seen an abortion questionnaire sinjin? What I'm trying to show you is common sense, something the left is sorely lacking. It's like when lyte argued that statistically atheists make up less that 1% of our Prison population, and produced ""ACTUAL SO CALLED STATISTICS"", But ask yourself this just for the sake of common sense. How many benefits do atheists get in prison compared to men who want out of their cells for bible studies, church services and worship services. The Christians also have access to special programs that lead to early release and community service points that lead to early release. And as the coup de graux, how many convicts want to go before the parole board labeled as godless heathens who don't even believe in God? NONE OF THEM, THAT'S HOW MANY. So like typical atheists and the smart criminals they are, they lie like hell and call themselves christians who just made a mistake. Well, you can be sure that if we could get a thousand of these so called christians here for a Poll, they would relate a lot better with you atheists than they would with me. And so it is with the questionnaires of abortion clinics. The questions on it are designed to manipulate the outcome to appear as innocent and morally right as possible. But we all know that is a blatant lie. It's just that some prefer the lie to the truth which is why such distorted statistics exist in the first place.","Shooterandproud","293932","Again, assumptions, assumptions, assumptions. Just because you DON'T KNOW if most women get pregnant by partying etc., doesn't mean they do. Same with atheists in prison. Just because you don't know if that statistic is true, doesn't mean that there are much more prison atheists.","abortion-self-defense","09:28 PM","abortion-debates","40"
