"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"12-12-2003","1401",1,"None","None","None","Charchuk","27094","Today a great leader was forced to retire by a backstabber. Jean Chrtien is stepping down today to be replaced by Paul Martin as the 21st Prime Minister of Canada. I don't trust Martin because of some of the shaddy deals and things he's done like taking gifts and other bribes from big business. Especially with his manipulation of the federal budgets, while he was finance minister, to make himself look good for a possible stab (and I do mean stab) at being the PM. Chrtien had dismissed him for this. He is way too conservative for my tastes. I think that I'll be voting NDP in the coming election since voting for Martin would be like voting for either the PCs or XXXX.","sad-day-canada","11:33 AM","government-debates","1"
"12-12-2003","1401",1,"None","None","None","Broker","27121","Chretien was forced to retire? I thought this had been planned for some time...","sad-day-canada","04:54 PM","government-debates","2"
"12-12-2003","1401",1,"Broker","None","Chretien was forced to retire? I thought this had been planned for some time...","Charchuk","27127","Yes, planned by Martin and his group. Chretien just got tired of all of their backroom dealings and scheming. Trudeau left basically for the same reason. Too many backstabbers. Well, it looks like Dubya is going to get a PM who is willing to drop his pants for him and to bring him his slippers. It'll be Mul RUIN ey all over again, except that this time it is a liberal.","sad-day-canada","05:10 PM","government-debates","3"
"12-13-2003","1401",1,"None","None","None","Broker","27278","I see... I heard that this PM is interested in better US relations. Good for him... we deserve some thanks for being your protector and trade buddy.","sad-day-canada","06:07 PM","government-debates","4"
"12-13-2003","1401",1,"None","None","None","SilentPoet","27295","http://www.cnn.com/2003/WORLD/americ...eut/index.html","sad-day-canada","11:17 PM","government-debates","5"
"12-13-2003","1401",1,"None","None","None","JakeCJB","27296","Let's not be so sure that Martin will always agree with the U.S. government... http://www.cbc.ca/storyview/CBC/2003...ntracts_031210","sad-day-canada","11:26 PM","government-debates","6"
"12-14-2003","1401",1,"Broker","None","I see... I heard that this PM is interested in better US relations. Good for him... we deserve some thanks for being your protector and trade buddy.","Charchuk","27318","""Protector""? Remember, we weren't the one's attacked. You couldn't even protect yourselves. And as trade buddy, you try at every opportunity to screw us over. NAFTA.","sad-day-canada","07:20 AM","government-debates","7"
"12-14-2003","1401",1,"SilentPoet","None","http://www.cnn.com/2003/WORLD/americ...eut/index.html","Charchuk","27319","The man is a hypocrit since he was caught taking such gifts from his ""friends"" as well. These ""friends"" were also from big buisness and will benefit from his time in office.","sad-day-canada","07:22 AM","government-debates","8"
"12-16-2003","1401",1,"Charchuk","None","""Protector""? Remember, we weren't the one's attacked. You couldn't even protect yourselves. And as trade buddy, you try at every opportunity to screw us over. NAFTA.","Robbie","27876","Char, you're a jerk. ""You couldn't even protect yourselves"" - it sounds to me like you don't really care about what happened. The U.S. worked with Canada throughout the Cold War to protect both countries. I think one reason Canada's military is so small is that we have the U.S. right next to us. I, for one, feel a lot safer. I agree that U.S. protectionism is stupid sometimes. And, I am quite glad to have Paul Martin in office. Although Chetien was fun. I once read a book of absolutely hilarious comments he's made. I think, though, he should be congratulated on serving Canada for so long.","sad-day-canada","05:24 PM","government-debates","9"
"12-16-2003","1401",1,"None","None","None","Broker","27889","Ever since Chretien said that the US got what it deserved on 9/11 he's been in my Clinton jokes. Glad to see him gone. PM Martin already is pledging closer security ties with the US with the creation of a new Canadian intelligence agency. I don't think it would be too much of a surprise to see him put in a little more money for Iraq. I like him better already.","sad-day-canada","06:44 PM","government-debates","10"
"12-16-2003","1401",1,"None","None","None","JakeCJB","27904","The Martin government will give more money for Iraq? From my CBC link in Post #6.... Incoming Prime Minister Paul Martin told a news conference Wednesday that he found the ban ""very difficult to fathom,"" adding that Canada has pledged $300 million in aid to Iraq. Deputy prime minister John Manley said the ban makes it ""difficult for us to give further money for the reconstruction of Iraq."" This situation has still not been resolved to Martin's satisfaction.","sad-day-canada","08:14 PM","government-debates","11"
