"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"01-01-2007","9391",1,"None","None","None","Shooterandproud","245426","I've been thinking of the reasons people go pro-choice or pro-life, and to me it seems that the pro-choice stance has overwhelming proof on their side. Lets take a look: Reasons for Pro-life: 1)Protecting the ""innocent"" baby or embryo or whatever 2)Earining brownie points in heavan I can't think of anymore, please post and i'll add to the list. Reasons for pro-choice: 1)This is a woman's body, not yours, not mine, and certainly not the governments. 2)An embryo can not make a decision, but a mother knows her circumstances best, therefore she should choose for the both. 3)An Embryo is not a sentient life form, and does not posses self awareness or consciousness, or to quote Another Opinion: ""Mentally exist"". 4)The only thing an embryo and humans have in common is a strand of DNA. 5)Abortion has some positive effects on society, as in the book Freakonomics by um... forgot the guy, Steve something, the author cites that the legalization of abortions caused a rapid decrease in crime, which makes sense if you think about it. Unwanted children are 10X more likely to become criminals. 6)And embryo does not have a 100% possiblilty of growing into a human being. 20% of pregnancies end in a miscarrige. 7)Birth control is not 100% effective. As I have said before, my friend's mom had her sister on the pill. Even though this makes up a small percentage of abortion, it still makes up some percentage, which is reason enough. 8)Being forced to carry through and unwanted pregnancy can have devastating effects on a women, namely financially and emotionally. In conclusion, I quote Mr. Richard C. Carrier: ""First, abortion is a notable benefit to society. The harm to a society that is caused by an excess of unchecked population growth is severe and well-documented. The ability of societies to check population growth without legalizing abortion has proven nearly non-existent: there are few countries in which abortion is outlawed or stigmatized that are not suffering harshly from overcrowding, with all the attendant economic, criminal, or political troubles. In contrast, most nations that allow the procedure are maintaining stable populations with nearly zero growth, and exhibiting more or less general prosperity. From a purely pragmatic perspective aimed at the interests of the commonwealth, abortion is at best a great benefit to mankind and at worst a necessary evil. And for women who regard zero growth as a moral imperative, abortion can even be a moral necessity from their point of view--although this would be better called a matter of principle, so as to distinguish this personal belief from the morally universal. Second, abortion is a significant benefit for the individual woman. The risks of death or permanent disability certainly must be greater for a woman who carries a fetus to term and bears a child, prematurely or not, than for a woman who aborts before the third trimester of her pregnancy. And the social and economic ruin that can ensue from an untimely motherhood is a serious harm as well, and although this could be alleviated by recourse to adoption, free medical care for pregnant women, and public welfare for women unable to work as a consequence of their pregnancy, these solutions are not as simple as they sound, and are not so universally available as people might think (even the United States, among the wealthiest of nations, has no such welfare system in place, not to mention a very poor excuse for a medicare system, and there is no desirable option for orphans in nations like India or Chad). Moreover, the potential physical harm from bearing a child simply cannot be alleviated. Abortion thus supplies some benefit for many women. An act that causes no involuntary harm and produces some benefits for individuals and society in general should never be outlawed. This is based on the principle that laws should only exist to preserve and protect the liberty of individuals and, when no liberty is at stake either way, to increase the general welfare of all citizens. Whether that principle is misinformed remains to be seen. But from the above analysis, there appears no way in which outlawing abortion would even indirectly preserve or protect the liberty of any individual, or provide any general benefit to the citizen body without uneccessarily depriving individuals of their liberty.""","why-pro-life","01:06 PM","abortion-debates","1"
"01-01-2007","9391",1,"None","None","None","dislexia","245432","Other reasons for pro life You do not know who you are aborting, they could be a future presidant or a nobel peace prize winner. In many states, if a mother can't or won't raise her child, she can drop them of at her local fier station (and hospital) with no questions asked. You would be destroying whole generations to come. (that baby leads to more babys....) Babys are the outcome of sex, If you don't want a baby, don't have sex!!!!!! If the case is rape, well, give the baby to adoption and insted of founding abortion, help fight rapeists with organisations like ""just yell fire"". Abortion leads to cancer","why-pro-life","01:51 PM","abortion-debates","2"
"01-01-2007","9391",1,"None","None","None","DrNo","245438","The basis of the pro-choice argument appears to be that more developed human beings have superior rights. Life begins at conception, and I really don't understand how any being with intelligence can think differently. I'm not the one making hypothetical ""talking flower pot"" scenarios to illustrate my point, because my point of view makes the most logical sense without having to rationalize anything.","why-pro-life","03:18 PM","abortion-debates","3"
"01-01-2007","9391",1,"dislexia","245432","Other reasons for pro life You do not know who you are aborting, they could be a future presidant or a nobel peace prize winner. You would be destroying whole generations to come. (that baby leads to more babys....) Abortion leads to cancer","ShadowPikachu","245476","You could also be aborting a future Hitler, Castro, Stalin, or Mao? What if they were the next Timothy McVeigh. As you can see, this argument is fallacious and can be used for either side of the issue. So, if there was a way to know that that baby would be infertile it would be alright in your view to abort? This is a very controversial issue that you are stating here as a fact. At best, it is just a scientific hypothesis, and no conclusive scientific findings have been made on this issue. It is rather dishonest of you to state it as a fact when it is anything but.","why-pro-life","09:56 PM","abortion-debates","4"
"01-02-2007","9391",1,"dislexia","245432","Other reasons for pro life You do not know who you are aborting, they could be a future presidant or a nobel peace prize winner. In many states, if a mother can't or won't raise her child, she can drop them of at her local fier station (and hospital) with no questions asked. You would be destroying whole generations to come. (that baby leads to more babys....) Babys are the outcome of sex, If you don't want a baby, don't have sex!!!!!! If the case is rape, well, give the baby to adoption and insted of founding abortion, help fight rapeists with organisations like ""just yell fire"". Abortion leads to cancer","Shooterandproud","245487","That is extremely flawed logic. What if one of those eggs is a nobel peace prize winner? Should we force all women to fertilize their eggs? Should everyone be forced to have sex 24/7 because the people may be someone? I would've added this, but this can have devastating emotional effects, knowing your child is out there somewhere. That is good. We need population control, as overpopulation is a problem to come. I only wish it were so simple. Abortion is always ok in rape or incest hands down. A woman should not have to pay for the crinimality of the rapist. Will post if you back this up.","why-pro-life","12:41 AM","abortion-debates","5"
"01-02-2007","9391",1,"DrNo","245438","The basis of the pro-choice argument appears to be that more developed human beings have superior rights. Life begins at conception, and I really don't understand how any being with intelligence can think differently. I'm not the one making hypothetical ""talking flower pot"" scenarios to illustrate my point, because my point of view makes the most logical sense without having to rationalize anything.","Shooterandproud","245488","I don't understand how people think a zygote deserves the same rights as human being, thus harming human beings. Human beings, or personhood, begins at first sign of intelligence or self awareness. There is no basis for rights without that, as it is what makes humans unique. We don't give animals the same rights as humans and animals DO have intelligence. In fact, hunting is legal, and animals do posses intellgence. So, why should something that possesses NO intelligence have more rights than lives that do? I beg to differ. I still fail to see any logic or reasoning in your argument. Embryos are not human beings. They do not posses intelligence, heck, they don't even posses limbs. They are really only a clump of floating flesh living parasitically off of its host: the woman. The only think that it and a human have in common is a strand of dna, nothing more. I don't see how anyone with considerable intelligence can consider it a human.","why-pro-life","12:47 AM","abortion-debates","6"
"01-02-2007","9391",1,"Shooterandproud","245426","I've been thinking of the reasons people go pro-choice or pro-life, and to me it seems that the pro-choice stance has overwhelming proof on their side.","gman","245510","Did your thought process ever include the question: What choice does the ""victim"" have? Does the instinct to survive exist in the helpless? The being that is totally dependent on the being that brought about it's existence becoming a victim of that being entrusted with it's safe keeping? The act of giving thought as to how to excuse the act of betraying the most basic trust a being can bring upon themselves through lack of forethought and disregard for sacred life should be quite embarrassing.","why-pro-life","10:48 AM","abortion-debates","7"
"01-02-2007","9391",1,"gman","245510","Did your thought process ever include the question: What choice does the ""victim"" have?","ShadowPikachu","245515","It has no choice whatsoever as it cannot make a choice. You see, most abortions occur early, before a brain is even developed. Without the awareness that develops after a brain is formed and the onnections in the neurons begin to be made, the foetus cannot make any sort of choice as it is not mentally existant, and your question is fundamentally flawed.","why-pro-life","11:43 AM","abortion-debates","8"
"01-02-2007","9391",1,"None","None","None","simone","245532","Women are human beings with rights and should be treated as such, rather than as breeding machines.","why-pro-life","12:43 PM","abortion-debates","9"
"01-02-2007","9391",1,"gman","245510","Did your thought process ever include the question: What choice does the ""victim"" have? Does the instinct to survive exist in the helpless? The being that is totally dependent on the being that brought about it's existence becoming a victim of that being entrusted with it's safe keeping The act of giving thought as to how to excuse the act of betraying the most basic trust a being can bring upon themselves through lack of forethought and disregard for sacred life should be quite embarrassing.","Shooterandproud","245534","You mean like a tapeworm? Should removing tapeworms be illegal too? I don't follow you here. Can you back up your little sacred ""trust"" theory? There is no trust between an embryo and a woman. An embryo cannot feel trust, it cannot even feel itself. Its really only a hunk of cells, and saying that it trusts the woman is like me saying that the flowers in my garden trust me to water them. And, at what point does a life become ""sacred"". I'm sure you've weeded your garden, is that an embarrasing disregard for sacred life? Is hunting an embarrassing disregard for sacred life? By your logic, i can call almost anything a ""sacred life"".","why-pro-life","12:45 PM","abortion-debates","10"
