"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"09-14-2005","6412",1,"None","None","None","Matthew S","162129","I am comming to believe that our system of winner take all is extremly unfair to the losers. What I would like to see is a sub government for the minority. With a second congress that has veto power over the majority when it comes to laws and issues that effect the minority. There must be some compromise possible. It seems that when the conservatives loose they are sore losers and attack the liberals. When the liberals loose they are sore losers and attack the conservatives. There must be some way to stop the distruction that is occurring in the USA. Any ideas?","new-government","09:25 PM","government-debates","1"
"09-14-2005","6412",1,"None","None","None","Dzeron","162131","I say, we should just have the government leave non-voters alone. So if liberals are afraid of being ruled by conservative moralism, or conservatives are afraid of being ruled by liberal socialism, they can have the option of governing only themselves and not governing anyone else.","new-government","09:46 PM","government-debates","2"
"09-14-2005","6412",1,"None","None","None","Steeeeve","162137","I suggest stop thinking that every want is a right. After this we can move on. The majority should always rule (like that quote I sent you) but the rights of the minority should not be infringed upon. I would say there aren't too many cases now where the government infringes upon others rights (although there are some). The only way to stop this is to get the people to believe this and change the law. Unless we have an all knowing ruler, this is the best way to do it.","new-government","10:22 PM","government-debates","3"
"09-15-2005","6412",1,"Steeeeve","None","I suggest stop thinking that every want is a right. After this we can move on. The majority should always rule (like that quote I sent you) but the rights of the minority should not be infringed upon. I would say there aren't too many cases now where the government infringes upon others rights (although there are some). The only way to stop this is to get the people to believe this and change the law. Unless we have an all knowing ruler, this is the best way to do it.","Matthew S","162159","Quite frankly majority rule sucks. You would feel the same way if you were in the minority. Hopefully one day evangelical christianity, and conservatisim will die off. IMHO that day can not come fast enough.","new-government","04:51 AM","government-debates","4"
"09-15-2005","6412",1,"Matthew S","None","I am comming to believe that our system of winner take all is extremly unfair to the losers. What I would like to see is a sub government for the minority. With a second congress that has veto power over the majority when it comes to laws and issues that effect the minority. There must be some compromise possible. It seems that when the conservatives loose they are sore losers and attack the liberals. When the liberals loose they are sore losers and attack the conservatives. There must be some way to stop the distruction that is occurring in the USA. Any ideas?","Big_Bear_Scot","162162","Instead of that why don't you guys have Proportional Representation as your main system for elections to the Senate or Congress, or even both. That way you would have a more representative House where even smaller parties(such as the Greens and the Libertarians) might be represented there. The President would still be elected in the traditional manner.","new-government","05:56 AM","government-debates","5"
"09-15-2005","6412",1,"Big_Bear_Scot","None","Instead of that why don't you guys have Proportional Representation as your main system for elections to the Senate or Congress, or even both. That way you would have a more representative House where even smaller parties(such as the Greens and the Libertarians) might be represented there. The President would still be elected in the traditional manner.","georged","162200","Too reasonable. That would eliminate our duopoly political control.","new-government","10:46 AM","government-debates","6"
"09-15-2005","6412",1,"georged","None","Too reasonable. That would eliminate our duopoly political control.","Big_Bear_Scot","162211","Exactly the Big Two don't want to lose control they basically have a strangle hold on US politics. Could that be one of the reasons why Voter turn out is so low ? People realise that no matter who they vote for one of big two will hold all the power.","new-government","11:13 AM","government-debates","7"
"09-15-2005","6412",1,"Big_Bear_Scot","None","Could that be one of the reasons why Voter turn out is so low ? People realise that no matter who they vote for one of big two will hold all the power.","georged","162251","IMO low voter turn out is more a sign of apathy and laziness in the general population. As long as a majority have full bellies and mindless entertainment, political change is not a consideration. Let me put it this way; if the general population had the ability to consider what we're (US) fiscally doing to their children and grandchildren, would they not demand political reform?","new-government","12:15 PM","government-debates","8"
"09-15-2005","6412",1,"georged","None","IMO low voter turn out is more a sign of apathy and laziness in the general population. As long as a majority have full bellies and mindless entertainment, political change is not a consideration. Let me put it this way; if the general population had the ability to consider what we're (US) fiscally doing to their children and grandchildren, would they not demand political reform?","Bassman","162356","Agreed. We just had a primary here in Erie County and many of the same pea-brains on the County legislature are on the ballot in November. Looks like the ""taxpayer revolt"" that was supposed to bring massive change fizzled out. On the bright side, seven of the fifteen legislators are not coming back.","new-government","04:52 PM","government-debates","9"
"09-15-2005","6412",1,"Matthew S","None","Quite frankly majority rule sucks. You would feel the same way if you were in the minority. Hopefully one day evangelical christianity, and conservatisim will die off. IMHO that day can not come fast enough.","Bassman","162358","Ain't gonna happen","new-government","04:54 PM","government-debates","10"
"09-18-2005","6412",1,"Bassman","None","Ain't gonna happen","zachvac","163265","Well the number of Christians in the world and the US is going down gradually and the poll numbers of our president (this doesn't exactly talk about all of Conservativism, especially since he isn't exactly conservative) are dropping. But in terms of Christianity, I think it shouldn't matter if one person or all but one person were Christian in terms of government. Religion shouldn't be recognized by government, and the rights of Christians should be protected no matter how many people they have.","new-government","12:27 AM","government-debates","11"
"09-18-2005","6412",1,"Matthew S","None","Quite frankly majority rule sucks. You would feel the same way if you were in the minority. Hopefully one day evangelical christianity, and conservatisim will die off. IMHO that day can not come fast enough.","georged","163329","Depending on whose numbers you like, Pew or others, US followers of Christianity will drop below 50% of the US population around 2035. Fundamentalists, due to their inflexibility, will take the biggest hit due to higher education becoming more widespread at the parenting level.","new-government","09:05 AM","government-debates","12"
"09-18-2005","6412",1,"georged","None","Depending on whose numbers you like, Pew or others, US followers of Christianity will drop below 50% of the US population around 2035. Fundamentalists, due to their inflexibility, will take the biggest hit due to higher education becoming more widespread at the parenting level.","Bassman","163368","Oh yeah. Higher education: the last bastion of liberal indoctrination. I also dispute those numbers, because more and more teens are becoming Christians now.","new-government","10:15 AM","government-debates","13"
