"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"11-28-2007","10648",1,"None","None","None","PoliticalRef","291866","Salon.com's Gordy Slack seems to believe that Evolution proves that no God exists and that our origins were completely without design or direction in any way. Apparently Mr. Slack has missed the fact that Evolution contains enormous gaps that render the theory useless for determining the actual origin of life. Mr. Slack's article dismisses Intelligent Design as nothing more than religious emotionalism hiding in the veil of science. In essence Slack suggests that Intelligent Design is religion and no matter how scientific it may seem don't believe it. Instead accept that the theory of Evolution has proven that God does not exist although science has done nothing whatsoever to demonstrate this. The article dismisses the fact that Intelligent Design is actual science with a great deal of circumstantial evidence to support it. Sound familiar? He also seems to ignore the fact that many accept both Evolution and Intelligent Design. All too often those opposed to Intelligent Design simply reject any notion of God no matter how unemotional and rationality based that notion is. Read the article, The evolution of creationism, find at http://www.salon.com/news/feature/20...tml?source=rss . politicalref.com","aggressive-evolutionists-abandon-logic-intelligent-design-evolution-debate","11:52 PM","creation-intelligent-design-vs-evolution","1"
"11-29-2007","10648",1,"PoliticalRef","291866","Salon.com's Gordy Slack seems to believe that Evolution proves that no God exists... Apparently Mr. Slack has missed the fact that Evolution contains enormous gaps that render the theory useless for determining the actual origin of life. Mr. Slack's article dismisses Intelligent Design as nothing more than religious emotionalism hiding in the veil of science. In essence Slack suggests that Intelligent Design is religion and no matter how scientific it may seem don't believe it. The article dismisses the fact that Intelligent Design is actual science with a great deal of circumstantial evidence to support it. He also seems to ignore the fact that many accept both Evolution and Intelligent Design. All too often those opposed to Intelligent Design simply reject any notion of God no matter how unemotional and rationality based that notion is.","electrolyte","291877","It doesn't. You are wrong. The theory of evolution doesn't address the origin of life. Rightly so. ID is not science. When has science ever, ever taken the position of ""well, we can't seem to figure it out, therefore it is impossible to figure out""? Science doesn't do that. I could also go on about ""irreducible complexity"" and ""specified complexity,"" but it'd be lost on you, wouldn't it? Because even the ID line is the Big Tent. The ID bigwigs know damn well that they can't argue against common descent: the evidence is too strong. Well, that's your claim, anyway. Truth is that billions of theists accept evolutionary theory as is and reject the standard ID arguments.","aggressive-evolutionists-abandon-logic-intelligent-design-evolution-debate","12:58 AM","creation-intelligent-design-vs-evolution","2"
"11-29-2007","10648",1,"PoliticalRef","291866","Read the article, The evolution of creationism, find at http://www.salon.com/news/feature/20...tml?source=rss .","Kronus","291917","Perhaps you should try reading the article, it says almost nothing that you claim it does. In particular, it doesn't say a bit about the existence of God, and very little about the correctness of evolution. It doesn't even explicitly say that ID is wrong. It just describes some of the changes the ID movement has gone through since the Dover trial. It's pretty much just straight forward journalism, with almost no editorializing. How you got your interpretation of the article I can't say.","aggressive-evolutionists-abandon-logic-intelligent-design-evolution-debate","08:22 AM","creation-intelligent-design-vs-evolution","3"
"11-29-2007","10648",1,"electrolyte","291877","Because even the ID line is the Big Tent. The ID bigwigs know damn well that they can't argue against common descent: the evidence is too strong. , that's your claim, anyway. Truth is that billions of theists accept evolutionary theory as is and reject the standard ID arguments.","Archangel","291940","More massive assumptions that are based in nothing more than unprovable so called science. The chimpanzee shares 98% of the DNA of humans yet they are demonstrably a lower animal with nothing in common to humanity creatively or intellectually. They have no imagination or sense of reason that allows them to create as we do so easily. After millions of years of so called evolution they are still monkeys and science is impressed that they have learned to use a stick to reach into an ant hill. What they ignore is that they learned to do that a thousand generations ago. Nothing new since then though where as Humanity has built up the World and conquered the Air, Sea and Space in that time. So what? Are you suggesting that because a lot of people agree on what is wrong, then what is wrong must be right? Because that is the way of this World in so many areas.","aggressive-evolutionists-abandon-logic-intelligent-design-evolution-debate","10:44 AM","creation-intelligent-design-vs-evolution","4"
"11-29-2007","10648",1,"Archangel","291940","More massive assumptions that are based in nothing more than unprovable so called science. The chimpanzee shares 98% of the DNA of humans yet they are demonstrably a lower animal with nothing in common to humanity creatively or intellectually. They have no imagination or sense of reason that allows them to create as we do so easily. After millions of years of so called evolution they are still monkeys and science is impressed that they have learned to use a stick to reach into an ant hill. What they ignore is that they learned to do that a thousand generations ago. Nothing new since then though where as Humanity has built up the World and conquered the Air, Sea and Space in that time.","lesz","291946","Well, at least chimps have accomplished more than Creationists! BTW, chimps aren't monkeys. I'm not so sure about Creationists, as they say they haven't evolved...","aggressive-evolutionists-abandon-logic-intelligent-design-evolution-debate","11:07 AM","creation-intelligent-design-vs-evolution","5"
"11-30-2007","10648",1,"Archangel","291940","More massive assumptions that are based in nothing more than unprovable so called science. The chimpanzee shares 98% of the DNA of humans yet they are demonstrably a lower animal with nothing in common to humanity creatively or intellectually. CHICAGO Observed in the wild and tested in captivity, chimpanzees invite comparison with humans, their close relatives. They bear a family resemblance that fascinates people, and scientists see increasing evidence of similarities in chimp behavior and skills, making some of them think on the vagaries of evolution. For some time, paleontologists and evolutionary biologists have known that chimp ancestors were the last line of todays apes to diverge from the branch that led to humans, probably six million, maybe four million years ago. More recent examination shows that despite profound differences in the two species, just a 1.23 percent difference in their genes separates Homo sapiens from chimpanzees, Pan troglodytes. And certain similarities between the two species, scientists say, go beyond expressive faces and opposable thumbs. Chimps display a remarkable range of behavior and talent. They make and use simple tools, hunt in groups and engage in aggressive, violent acts. They are social creatures that appear to be capable of empathy, altruism, self-awareness, cooperation in problem solving and learning through example and experience. Chimps even outperform humans in some memory tasks. They have no imagination or sense of reason that allows them to create as we do so easily. After millions of years of so called evolution they are still monkeys and science is impressed that they have learned to use a stick to reach into an ant hill. What they ignore is that they learned to do that a thousand generations ago. Nothing new since then though where as Humanity has built up the World and conquered the Air, Sea and Space in that time. So what? Are you suggesting that because a lot of people agree on what is wrong, then what is wrong must be right? Because that is the way of this World in so many areas.","obvious_child","292056","If science is unprovable, where did all of these advances in the modern world come from? How did we figure out how to make vaccines or what a vaccine is? How did Mendel start the field of genetics? So everyone at NASA and all their fancy shamancy expensive stuff is all just fake? Have you ever spent time with a chimp? Or watched videos of them? Or bothered to even research them? Or how about talking to a zoologist? how about one of their keepers? Or how about someone who actually knows what they are talking about for a change? http://www.nytimes.com/2007/04/17/sc...ml?ref=science Well then. You stand corrected. Now it just remains to be seen if you'll admit you are wrong. History isn't betting on it. But wait, you said that science is unprovable. How did we build up the world, conquer the air, sea and space without unprovable science?! How is that any different then you declaring what is wrong and right without any good platform do to so?","aggressive-evolutionists-abandon-logic-intelligent-design-evolution-debate","12:25 AM","creation-intelligent-design-vs-evolution","6"
"11-30-2007","10648",1,"Archangel","291940","After millions of years of so called evolution they are still monkeys","electrolyte","292063","Monkeys that are not the same as their ancestors from millions of years ago. (Also known as ""Marty! You're not thinking fourth dimensionally!"") Science doesn't say that a high DNA similarity means that mental capacities must be highly similar. A significant number of the differences have to do with the brain, actually. But you didn't know this because presenting your strawman requires maintaining your willful ignorance of these facts. Evolution explains why the DNA of chimps (not ""monkeys"") is so similar to ours. Creationism does not. This fact is a feather in the hat of evolution, not an argument against it.","aggressive-evolutionists-abandon-logic-intelligent-design-evolution-debate","12:40 AM","creation-intelligent-design-vs-evolution","7"
"11-30-2007","10648",1,"None","None","None","PoliticalRef","292066","I ascribed potential motivations to the author of the article because I believe it is useful to consider where one is coming from. I did not write that the author explicitly wrote that no God exits, only that he suggests it. I did not write that the author of the article explicitly stated that evolution disproves God's existence, only that it implies this. etc. I am perfectly willing to consider the science examining evolution. Most evolutionists are unwilling to consider the science examining intelligent design. A bias against even the possibility that an intelligent designer exists within much of the scientific community. This article displays that bias as do your responses to my post. Pretend that you are not biased all you want, the bias is unmistakable. I also do not claim that proof for God exists, only that we should consider the possibility. More questions, not less, are always preferable. politicalref.com","aggressive-evolutionists-abandon-logic-intelligent-design-evolution-debate","01:13 AM","creation-intelligent-design-vs-evolution","8"
"11-30-2007","10648",1,"PoliticalRef","292066","Most evolutionists are unwilling to consider the science examining intelligent design.","obvious_child","292068","Not at all. Intelligent design lacks science as a whole as it is incapable of producing experiments to prove its assertions or provide geological evidence or even contemporary evidence that its claims are indeed valid. Essentially Intelligent design is nothing more then Goddidit. Things are too complex to explain at the current moment, with the current understanding, therefore God was responsible. ID is fundamentally no different then Animism. What cannot be explained now is the work of God. But instead of rain and sun, it's now the eye. The principle argument has not changed.","aggressive-evolutionists-abandon-logic-intelligent-design-evolution-debate","01:19 AM","creation-intelligent-design-vs-evolution","9"
"11-30-2007","10648",1,"None","None","None","PoliticalRef","292069","You wrote, ""You are wrong. The theory of evolution doesn't address the origin of life."" Is this not precisely what I wrote? Evolution does not address the origin of life. This is one of its enormous gaps. No argument there. politicalref.com","aggressive-evolutionists-abandon-logic-intelligent-design-evolution-debate","01:19 AM","creation-intelligent-design-vs-evolution","10"
