"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"11-05-2007","10590",1,"None","None","None","nate895","289844","I have recently read a few books and it seems to me that the federal government has been usurping power (particularly the Supreme Court) since its inception. The sovereignty of the states and the ideals of the Revolution seem to have been lost upon us, instead of fair state governments people watch and trust, we have a federal government that overreaches its delegated powers to the detriment of the will of the people and the founders/ratifiers understanding of our Constitution. Should we continue down this road of Federal usurpations and just form a new Constitution or should we have the States reclaim the rightful place at the forefront of domestic policy?","return-constitutional-government","12:39 AM","government-debates","1"
"11-08-2007","10590",1,"None","None","None","Phunting","290205","National governmental rule is a logical consequence of government. Local government can regulate all the parking restrictions and rubbish collections they like, but I fail to see why people consider centralized government a bad thing.","return-constitutional-government","04:49 PM","government-debates","2"
"11-08-2007","10590",1,"Phunting","290205","National governmental rule is a logical consequence of government. Local government can regulate all the parking restrictions and rubbish collections they like, but I fail to see why people consider centralized government a bad thing.","gamehuis","290213","Easy. Centralized government means a concentration of power in the hands of a few people. And power corrupts and it attracts the sort of people that should not have power.","return-constitutional-government","05:51 PM","government-debates","3"
"11-08-2007","10590",1,"Phunting","290205","National governmental rule is a logical consequence of government. Local government can regulate all the parking restrictions and rubbish collections they like, but I fail to see why people consider centralized government a bad thing.","nate895","290221","Our government is Federal not National, a stipulation they made specifically at the Constitutional Convention, as there were multiple proposals as to the form the new union would take, from mere alliance or league (though advocates were not at the convention) to monarchists (only a couple were admitted at the Constitution).","return-constitutional-government","07:16 PM","government-debates","4"
"11-09-2007","10590",1,"None","None","None","Symbiote","290343","I don't understand why you're advocating national government, shouldn't world government be the solution from your perspective, with only obviously local matters taken care of at a lower level? If not, why not? Isn't the greater the centralisation of power and the more uniform the law across different peoples and cultures the better?","return-constitutional-government","07:13 PM","government-debates","6"
"11-09-2007","10590",1,"Symbiote","290343","I don't understand why you're advocating national government, shouldn't world government be the solution from your perspective, with only obviously local matters taken care of at a lower level? If not, why not? Isn't the greater the centralisation of power and the more uniform the law across different peoples and cultures the better?","Phunting","290346","You're absolutely right. That would, of course, be the ideal. I was advocating national government as I thought it was worth taking these things one step at a time...","return-constitutional-government","07:28 PM","government-debates","7"
"11-09-2007","10590",1,"Phunting","290342","I don't think that's necessarily true. A representational legislature is capable of making any decision worth making, leaving things that are obviously local matters to the States. It is still subject to scrutiny. Im not advocating giving all the power just to the President, but I dont see the problem in big government. I don't really see why incoherency between States is such a desired thing. Take the death penalty for example. I don't understand how one State can have it or another not. Something like that is either considered just punishment or morally unacceptable. Such elements shouldn't change depending on what post code you're in. Apologies, I use the language I'm used to, hence not using the word 'federal' as we're not a federation. Still, I understand that the US government was created in that way, but that's not why it should be. That's just saying 'we've got to do it that way coz the constitution says so'...","nate895","290354","We do have to do it because the Constitution says so, otherwise why would we have written it. If you want to change our form of government, get a constitutional amendment, you can't impose your will upon everyone because it is your personal opinion. If you look at most states, on the vast majority of issues, the people of those states agree upon many things that the entire country is evenly divided upon. Take gay marriage, in most states there is an overwhelming majority of people who oppose it, but in a few states the supporters outnumber those who oppose by a lot. Overall a federalist system puts things that are of national importance that no state can do alone, in the hands of the Feds, while the controversial issues stay in the place of power where they'll cause the least dissension. If one side on many issues was able to get the upper hand in the majority of the Union, and imposes their will upon the minority then this might lead to conflict and if the issue is important enough, it leads to war. P.S. When representatives from a certain portion of the Union heavily outnumber those from another, they can use that portion of the Union as basically a revenue maker or whatever there experiment of the day is.","return-constitutional-government","09:36 PM","government-debates","8"
"11-09-2007","10590",1,"nate895","289844","I have recently read a few books and it seems to me that the federal government has been usurping power (particularly the Supreme Court) since its inception. The sovereignty of the states and the ideals of the Revolution seem to have been lost upon us, instead of fair state governments people watch and trust, we have a federal government that overreaches its delegated powers to the detriment of the will of the people and the founders/ratifiers understanding of our Constitution. Should we continue down this road of Federal usurpations and just form a new Constitution or should we have the States reclaim the rightful place at the forefront of domestic policy?","Matthew S","290356","I am not sure what you mean. Could you give a few examples of this over reaching power you state? From my perspective. The federal government is there to protect US citizens from excesses of state oppression. I also take it to mean that you think that anti discrimination laws, voting rights laws, and food safety issues are not part of the federal governments power. I take it to mean that if a black person in x state can be discriminated against if they move to y state and that the federal government should have no say in the matter.","return-constitutional-government","10:00 PM","government-debates","9"
"11-09-2007","10590",1,"Matthew S","290356","I am not sure what you mean. Could you give a few examples of this over reaching power you state? From my perspective. The federal government is there to protect US citizens from excesses of state oppression. I also take it to mean that you think that anti discrimination laws, voting rights laws, and food safety issues are not part of the federal governments power. I take it to mean that if a black person in x state can be discriminated against if they move to y state and that the federal government should have no say in the matter.","nate895","290360","Since when does a government possibly thousands of miles away protect rights more than governments who are close to home. I'm not talking about fundamental rights anyway. Lets look at a few examples of the Feds overreaching; 1)So called ""Great Society"" clearly not a delegated authority in the Constitution, if so point out provision please. 2) So called ""New Deal"" same as previous 3) A certain little war that I can vaguely remember, it happened between 1861-65. 4) Federal courts making ridiculous assumptions as to meaning of provisions, or making it up out of whole cloth. 5) Creation of the so-called ""National Guard"" when the militia provisions of both the States and Feds already are sufficient for these purposes. 6) Pork barrel spending. 7) Possibility of creating National Health Care, point to provision. 8) Entangling foreign alliances, such as NATO. Will be back with more.","return-constitutional-government","10:42 PM","government-debates","10"
"11-10-2007","10590",1,"nate895","290360","Since when does a government possibly thousands of miles away protect rights more than governments who are close to home. I'm not talking about fundamental rights anyway. Lets look at a few examples of the Feds overreaching; 1)So called ""Great Society"" clearly not a delegated authority in the Constitution, if so point out provision please. 2) So called ""New Deal"" same as previous 3) A certain little war that I can vaguely remember, it happened between 1861-65. 4) Federal courts making ridiculous assumptions as to meaning of provisions, or making it up out of whole cloth. 5) Creation of the so-called ""National Guard"" when the militia provisions of both the States and Feds already are sufficient for these purposes. 6) Pork barrel spending. 7) Possibility of creating National Health Care, point to provision. 8) Entangling foreign alliances, such as NATO.","Matthew S","290371","When local and state governments refuse to honor those basic rights, such as voting, in the cases of discrinintion, and freedom to be and marry who you want. Would you say that Oklahoma has a right to say to couples that are just traveling through that their adopted child is not their adopted child because the child was adopted in another state? Because Oklahoma has just such a law. Do you think that Virginia has a right to invalidate my power of attorney if when visiting the state and something happens that I need medical attention? Because Virginia has just such a law. No idea what you mean by this. This is not specific. Again not specific. What does the civil war have to do with anything. I do believe that it is the federal governments responsiblity to keep the union together. Again nothing specific could you give some examples. OK something specific. I don't see a problem with this and the national gaurd is under the control of the governors of the various states. Again nothing specific but I will take a shot at this as I think I understand what you mean. What is pork barrel spending if it isn't individual congress people getting money for their state and local area that they represent. Which is exactly opposite of the arguement you are trying to make, they are looking after the intrests of the local people. Again why this is a bad thing? As a socialist I believe that it is the responsiblity of the federal government to take care of the people. Do you want people to die in the homeless in the streets ravshied by the excesses of capitalism? It is that capitalisic excesses that has, in every case, led to each expansion of power by the federal government. Take the banking mess of the 1930's it was created by speculators. The federal government stepped in to protect the people. Are you saying that FDIC is a bad idea? Are you saying that you approve of the banks using your money to play the stock market then go under leaving you with no money? This is exactly the power set up by the constitution. Are you saying that you want each state to set up its own alliances?","return-constitutional-government","05:38 AM","government-debates","11"
