"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"02-22-2013","22372",1,"None","None","None","TeaAddict","470673","Hello! I understand that Abiogenesis is a separate field from evolution, but considering everything (including life) must have an origin, and Abiogenesis is a theory attempting to explain the origin of life, I think it deserves to be discussed. So one theory of Abiogenesis states that the Earth's atmosphere, approximately 3.5 billion years ago, produced organic compounds when exposed to energy. These organic molecules accumulated into a pool, and eventually formed more complex organic compounds, which eventually formed life. There are several problems which are pretty lethal to this theory. 1: The Ultraviolet rays from the sun would have destroyed any organic matter. Considering there was no oxygen in the atmosphere at the time, and therefore no ozone, there would have been no protection. Some have suggested that the spark of life started in the ocean, but this would seem impossible considering the oxygen in the water would have destroyed any organic matter. 2: The production of Adenosine triphosphate (ATP), the molecules that fuel cells, requires protons to be densely packed and separated out. This could not happen in a ""soup"" mixture. 3: It is highly improbable that random organic molecules could have formed sufficient DNA, RNA, Proteins, etc. that would be necessary for a functional cell. Although evolution is a separate study from Abiogenesis, evolution is dependent on Abiogenesis: if life cant start, it cant evolve. Therefore, is Abiogenesis is so unlikely, the Theory of Evolution is also unlikely. Intelligent design (a creator God) is the most logical, plausible, scientific explanation for life.","origin-life","12:50 AM","creation-intelligent-design-vs-evolution","1"
"02-22-2013","22372",1,"None","None","None","Dani","470674","In the human female, a fertilized egg can implant into the fallopian tube, cervix or ovary rather than the uterus causing an ectopic pregnancy. The existence of a cavity between the ovary and the fallopian tube could indicate a flawed design in the female reproductive system. Prior to modern surgery, ectopic pregnancy invariably caused the deaths of both mother and baby. Even in modern times, in almost all cases, the pregnancy must be aborted to save the life of the mother. In the human female, the birth canal passes through the pelvis. The prenatal skull will deform to a surprising extent. However, if the babys head is significantly larger than the pelvic opening, the baby cannot be born naturally. Prior to the development of modern surgery (caesarean section), such a complication would lead to the death of the mother, the baby or both. Other birthing complications such as breech birth are worsened by this position of the birth canal. In the human male, testes develop initially within the abdomen. Later during gestation, they migrate through the abdominal wall into the scrotum. This causes two weak points in the abdominal wall where hernias can later form. Prior to modern surgical techniques, complications from hernias, including intestinal blockage, gangrene, etc., usually resulted in death. Other examples of ""poor design"" include: Barely used nerves and muscles, such as the plantaris muscle of the foot,[5] that are missing in part of the human population and are routinely harvested as spare parts if needed during operations. Another example is the muscles that move the ears, which some people can learn to control to a degree, but serve no purpose in any case. The common malformation of the human spinal column, leading to scoliosis, sciatica and congenital misalignment of the vertebrae. Crowded teeth and poor sinus drainage, as human faces are significantly flatter than those of other primates and humans share the same tooth set. This results in a number of problems, most notably with wisdom teeth. The existence of the pharynx, a passage used for both ingestion and respiration, with the consequent drastic increase in the risk of choking. The structure of humans' eyes (as well as those of all mammals). The retina is 'inside out'. The nerves and blood vessels lie on the surface of the retina instead of behind it as is the case in many invertebrate species. This arrangement forces a number of complex adaptations and gives mammals a blind spot. Six muscles move the eye when three would suffice. The breathing reflex is stimulated not directly by the absence of oxygen but rather indirectly by the presence of carbon dioxide. A result is that, at high altitudes, oxygen deprivation can occur in unadapted individuals who do not consciously increase their breathing rate. Sturdy but heavy bones, suited for non-flight, occurring in animals like bats. Or, on the converse: unstable, light, hollow bones, suited for flight, occurring in birds like penguins and ostriches, which cannot fly. Various vestigial body parts, like the femur and pelvis in whales or the third molar - or 'wisdom teeth' - in humans (whereas some other primates with differing jaw shapes make use of the third molar). Plants are green and not black, even though black plants would absorb more light energy. Female orgasm is usually produced only by the direct stimulation of the clitoris. The clitoris is not typically stimulated during sexual intercourse. Argument from poor design - Wikipedia, the free encyclopedia Yep...there sure is a lot of 'intelligence' gone into the design huh TeaAddict?","origin-life","02:30 AM","creation-intelligent-design-vs-evolution","2"
"02-22-2013","22372",1,"TeaAddict","470673","Hello! I understand that Abiogenesis is a separate field from evolution, but considering everything (including life) must have an origin, and Abiogenesis is a theory attempting to explain the origin of life, I think it deserves to be discussed. So one theory of Abiogenesis states that the Earth's atmosphere, approximately 3.5 billion years ago, produced organic compounds when exposed to energy. These organic molecules accumulated into a pool, and eventually formed more complex organic compounds, which eventually formed life. There are several problems which are pretty lethal to this theory. 1: The Ultraviolet rays from the sun would have destroyed any organic matter. Considering there was no oxygen in the atmosphere at the time, and therefore no ozone, there would have been no protection. Some have suggested that the spark of life started in the ocean, but this would seem impossible considering the oxygen in the water would have destroyed any organic matter. 2: The production of Adenosine triphosphate (ATP), the molecules that fuel cells, requires protons to be densely packed and separated out. This could not happen in a ""soup"" mixture. 3: It is highly improbable that random organic molecules could have formed sufficient DNA, RNA, Proteins, etc. that would be necessary for a functional cell. Although evolution is a separate study from Abiogenesis, evolution is dependent on Abiogenesis: if life cant start, it cant evolve. Therefore, is Abiogenesis is so unlikely, the Theory of Evolution is also unlikely. Intelligent design (a creator God) is the most logical, plausible, scientific explanation for life.","Databed","470703","Okay, one theory of abiogenesis says that, not all of them. And don't forget about exogenesis. Life did not necessarily start on Earth. How do you know that UV rays would have destroyed any organic matter? Do you know what molecules comprised the first reproducing molecules? Also, escaping UV rays is easy, you just have to go under a rock, beneath enough water, underground, etc. And also, since when does oxygen destroy organic matter? We breath oxygen and were just fine, right? And who told you oxygen was even present in primitive oceans? This one is beyond me. ATP is a molecule used to store energy the cell can use to metabolize. What's this about protons? And it doesn't do well in soup? And again, who told you the first reproducing, metabolizing life was in the form of cells? Necessary for a modern functional cell. You don't know what life looked like 3.5 billion years ago. It eventually became dominated by cells, but certainly didn't start with the cell. No theory of abiogenesis claims that it did. If anything, abiogenesis is dependent on evolution. Evolution explains the diversity of life. It does suggest abiogenesis, just as an expanding universe suggests the Big Bang, but it does not require it. That is not scientific and your logic is not sound. Even if your premises were correct, not based on a misunderstanding of what life is and what it most likely was in the past, even if you had a lick of chemistry supporting your other claims, your logic still would not follow.","origin-life","09:58 PM","creation-intelligent-design-vs-evolution","3"
"02-23-2013","22372",1,"Dani","470674","In the human female, a fertilized egg can implant into the fallopian tube, cervix or ovary rather than the uterus causing an ectopic pregnancy. The existence of a cavity between the ovary and the fallopian tube could indicate a flawed design in the female reproductive system. Prior to modern surgery, ectopic pregnancy invariably caused the deaths of both mother and baby. Even in modern times, in almost all cases, the pregnancy must be aborted to save the life of the mother. In the human female, the birth canal passes through the pelvis. The prenatal skull will deform to a surprising extent. However, if the babys head is significantly larger than the pelvic opening, the baby cannot be born naturally. Prior to the development of modern surgery (caesarean section), such a complication would lead to the death of the mother, the baby or both. Other birthing complications such as breech birth are worsened by this position of the birth canal. In the human male, testes develop initially within the abdomen. Later during gestation, they migrate through the abdominal wall into the scrotum. This causes two weak points in the abdominal wall where hernias can later form. Prior to modern surgical techniques, complications from hernias, including intestinal blockage, gangrene, etc., usually resulted in death. Other examples of ""poor design"" include: Barely used nerves and muscles, such as the plantaris muscle of the foot,[5] that are missing in part of the human population and are routinely harvested as spare parts if needed during operations. Another example is the muscles that move the ears, which some people can learn to control to a degree, but serve no purpose in any case. The common malformation of the human spinal column, leading to scoliosis, sciatica and congenital misalignment of the vertebrae. Crowded teeth and poor sinus drainage, as human faces are significantly flatter than those of other primates and humans share the same tooth set. This results in a number of problems, most notably with wisdom teeth. The existence of the pharynx, a passage used for both ingestion and respiration, with the consequent drastic increase in the risk of choking. The structure of humans' eyes (as well as those of all mammals). The retina is 'inside out'. The nerves and blood vessels lie on the surface of the retina instead of behind it as is the case in many invertebrate species. This arrangement forces a number of complex adaptations and gives mammals a blind spot. Six muscles move the eye when three would suffice. The breathing reflex is stimulated not directly by the absence of oxygen but rather indirectly by the presence of carbon dioxide. A result is that, at high altitudes, oxygen deprivation can occur in unadapted individuals who do not consciously increase their breathing rate. Sturdy but heavy bones, suited for non-flight, occurring in animals like bats. Or, on the converse: unstable, light, hollow bones, suited for flight, occurring in birds like penguins and ostriches, which cannot fly. Various vestigial body parts, like the femur and pelvis in whales or the third molar - or 'wisdom teeth' - in humans (whereas some other primates with differing jaw shapes make use of the third molar). Plants are green and not black, even though black plants would absorb more light energy. Female orgasm is usually produced only by the direct stimulation of the clitoris. The clitoris is not typically stimulated during sexual intercourse. Argument from poor design - Wikipedia, the free encyclopedia Yep...there sure is a lot of 'intelligence' gone into the design huh TeaAddict?","Easyrider","470704","Congratulations on your GREAT FAITH in believing in abiogenesis.","origin-life","12:17 AM","creation-intelligent-design-vs-evolution","4"
"02-23-2013","22372",1,"Easyrider","470704","Congratulations on your GREAT FAITH in believing in abiogenesis.","Dani","470705","Run along and play somewhere else Coco. The grown ups are discussing things here.","origin-life","04:54 AM","creation-intelligent-design-vs-evolution","5"
"02-23-2013","22372",1,"Easyrider","470704","Congratulations on your GREAT FAITH in believing in abiogenesis.","smiley","470708","Abiogenesis is a fact. Once there was no life, and then there was life. That's abiogenesis. Whether you believe that a god poofed it into existence or natural forces formed it through chemical means, it happened. Oh ye of little thought.","origin-life","08:24 AM","creation-intelligent-design-vs-evolution","6"
"02-23-2013","22372",1,"smiley","470708","Abiogenesis is a fact.","Easyrider","470713","Horse manure. You can't even explain the original process, much less tell us when and where it supposedly occurred.","origin-life","06:25 PM","creation-intelligent-design-vs-evolution","7"
"02-23-2013","22372",1,"Easyrider","470713","Horse manure. You can't even explain the original process, much less tell us when and where it supposedly occurred.","Freedom","470714","Is god biological?","origin-life","07:14 PM","creation-intelligent-design-vs-evolution","8"
"02-23-2013","22372",1,"Easyrider","470713","Horse manure. You can't even explain the original process, much less tell us when and where it supposedly occurred.","smiley","470715","It is such a shame you couldn't even be bothered to read the rest of my post. Try again! Unless of course you are proposing that life has always been, with no beginning. That would certainly be interesting.","origin-life","07:34 PM","creation-intelligent-design-vs-evolution","9"
"02-24-2013","22372",1,"Freedom","470714","Is god biological?","Easyrider","470718","He created the biological.","origin-life","07:20 AM","creation-intelligent-design-vs-evolution","10"
